Gene,TCGA_Present,CGGA_Present,Is_Target
TMEM132A,TRUE,TRUE,FALSE
AP2B1,TRUE,TRUE,FALSE
TAC1,TRUE,TRUE,FALSE
ZNF263,TRUE,TRUE,FALSE
CX3CL1,TRUE,TRUE,FALSE
SPATA20,TRUE,TRUE,FALSE
CACNA1G,TRUE,TRUE,FALSE
TNFRSF12A,TRUE,TRUE,FALSE
DLX6,TRUE,TRUE,FALSE
MAP3K9,TRUE,TRUE,FALSE
RALA,TRUE,TRUE,FALSE
BAIAP2L1,TRUE,TRUE,FALSE
ETV1,TRUE,TRUE,FALSE
AGK,TRUE,TRUE,FALSE
ALDH3B1,TRUE,TRUE,FALSE
PHTF2,TRUE,TRUE,FALSE
CCL26,TRUE,TRUE,FALSE
FARP2,TRUE,TRUE,FALSE
USH1C,TRUE,TRUE,FALSE
GGCT,TRUE,TRUE,FALSE
DBF4,TRUE,TRUE,FALSE
TBXA2R,TRUE,TRUE,FALSE
IFRD1,TRUE,TRUE,FALSE
COX10,TRUE,TRUE,FALSE
GTF2IRD1,TRUE,TRUE,FALSE
PAF1,TRUE,TRUE,FALSE
VPS41,TRUE,TRUE,FALSE
ARHGAP44,TRUE,TRUE,FALSE
ELAC2,TRUE,TRUE,FALSE
SCIN,TRUE,TRUE,FALSE
ARSD,TRUE,TRUE,FALSE
PNPLA4,TRUE,TRUE,FALSE
ADIPOR2,TRUE,TRUE,FALSE
CDKL3,TRUE,TRUE,FALSE
UPP2,TRUE,TRUE,FALSE
PRSS21,TRUE,TRUE,FALSE
MARK4,TRUE,TRUE,FALSE
PROM1,TRUE,TRUE,FALSE
CCDC124,TRUE,TRUE,FALSE
CEACAM21,TRUE,TRUE,FALSE
PAFAH1B1,TRUE,TRUE,FALSE
NOS2,TRUE,TRUE,FALSE
DNAH9,TRUE,TRUE,FALSE
KIAA0100,TRUE,TRUE,FALSE
GAS7,TRUE,TRUE,FALSE
TRAPPC6A,TRUE,TRUE,FALSE
MATK,TRUE,TRUE,FALSE
CD79B,TRUE,TRUE,FALSE
SCN4A,TRUE,TRUE,FALSE
ST7L,TRUE,TRUE,FALSE
TKTL1,TRUE,TRUE,FALSE
PAX6,TRUE,TRUE,FALSE
RPUSD1,TRUE,TRUE,FALSE
RHBDF1,TRUE,TRUE,FALSE
LUC7L,TRUE,TRUE,FALSE
CACNA2D2,TRUE,TRUE,FALSE
BAIAP3,TRUE,TRUE,FALSE
TSR3,TRUE,TRUE,FALSE
PIGQ,TRUE,TRUE,FALSE
TEAD3,TRUE,TRUE,FALSE
SELE,TRUE,TRUE,FALSE
DNAJC11,TRUE,TRUE,FALSE
FMO3,TRUE,TRUE,FALSE
MYLIP,TRUE,TRUE,FALSE
NOX1,TRUE,TRUE,FALSE
E2F2,TRUE,TRUE,FALSE
PSMB1,TRUE,TRUE,FALSE
SYN1,TRUE,TRUE,FALSE
JARID2,TRUE,TRUE,FALSE
CDKL5,TRUE,TRUE,FALSE
CAMK1G,TRUE,TRUE,FALSE
CDK11A,TRUE,TRUE,FALSE
NADK,TRUE,TRUE,FALSE
TFAP2B,TRUE,TRUE,FALSE
DLEC1,TRUE,TRUE,FALSE
CYTH3,TRUE,TRUE,FALSE
ADAM22,TRUE,TRUE,FALSE
SYPL1,TRUE,TRUE,FALSE
CYB561,TRUE,TRUE,FALSE
SPAG9,TRUE,TRUE,FALSE
CELSR3,TRUE,TRUE,FALSE
AASS,TRUE,TRUE,FALSE
PLEKHG6,TRUE,TRUE,FALSE
SS18L2,TRUE,TRUE,FALSE
MPND,TRUE,TRUE,FALSE
MGST1,TRUE,TRUE,FALSE
CRY1,TRUE,TRUE,FALSE
PGLYRP1,TRUE,TRUE,FALSE
NFIX,TRUE,TRUE,FALSE
ST3GAL1,TRUE,TRUE,FALSE
MMP25,TRUE,TRUE,FALSE
IL32,TRUE,TRUE,FALSE
PKD1,TRUE,TRUE,FALSE
MAPK8IP2,TRUE,TRUE,FALSE
MED24,TRUE,TRUE,FALSE
RHOBTB2,TRUE,TRUE,FALSE
HEATR5B,TRUE,TRUE,FALSE
SEC62,TRUE,TRUE,FALSE
CSDE1,TRUE,TRUE,FALSE
UBE3C,TRUE,TRUE,FALSE
REV3L,TRUE,TRUE,FALSE
TENM1,TRUE,TRUE,FALSE
MASP2,TRUE,TRUE,FALSE
FAM76A,TRUE,TRUE,FALSE
TRAF3IP3,TRUE,TRUE,FALSE
POMT2,TRUE,TRUE,FALSE
VTA1,TRUE,TRUE,FALSE
MLXIPL,TRUE,TRUE,FALSE
BAZ1B,TRUE,TRUE,FALSE
RANBP9,TRUE,TRUE,FALSE
ETV7,TRUE,TRUE,FALSE
SPRTN,TRUE,TRUE,FALSE
DYRK4,TRUE,TRUE,FALSE
ZNF207,TRUE,TRUE,FALSE
UQCRC1,TRUE,TRUE,FALSE
STARD3NL,TRUE,TRUE,FALSE
CD9,TRUE,TRUE,FALSE
HHATL,TRUE,TRUE,FALSE
NCAPD2,TRUE,TRUE,FALSE
IFFO1,TRUE,TRUE,FALSE
GIPR,TRUE,TRUE,FALSE
PHF7,TRUE,TRUE,FALSE
SEMA3G,TRUE,TRUE,FALSE
NISCH,TRUE,TRUE,FALSE
STAB1,TRUE,TRUE,FALSE
FUZ,TRUE,TRUE,FALSE
SLC6A13,TRUE,TRUE,FALSE
PRSS3,TRUE,TRUE,FALSE
ZNF200,TRUE,TRUE,FALSE
CD4,TRUE,TRUE,FALSE
LRRC23,TRUE,TRUE,FALSE
BTK,TRUE,TRUE,FALSE
HFE,TRUE,TRUE,FALSE
SCMH1,TRUE,TRUE,FALSE
FYN,TRUE,TRUE,FALSE
HIVEP2,TRUE,TRUE,FALSE
FMO1,TRUE,TRUE,FALSE
LYPLA2,TRUE,TRUE,FALSE
CLCN6,TRUE,TRUE,FALSE
MRC2,TRUE,TRUE,FALSE
SLC6A7,TRUE,TRUE,FALSE
TSPAN9,TRUE,TRUE,FALSE
BTBD7,TRUE,TRUE,FALSE
APBA3,TRUE,TRUE,FALSE
MKS1,TRUE,TRUE,FALSE
ABHD5,TRUE,TRUE,FALSE
AKAP8L,TRUE,TRUE,FALSE
MBTD1,TRUE,TRUE,FALSE
UTP18,TRUE,TRUE,FALSE
RNF216,TRUE,TRUE,FALSE
TTC19,TRUE,TRUE,FALSE
PTBP1,TRUE,TRUE,FALSE
DPF1,TRUE,TRUE,FALSE
SYT7,TRUE,TRUE,FALSE
LARS2,TRUE,TRUE,FALSE
PIK3C2A,TRUE,TRUE,FALSE
PLAUR,TRUE,TRUE,FALSE
ANLN,TRUE,TRUE,FALSE
WIZ,TRUE,TRUE,FALSE
RABGAP1,TRUE,TRUE,FALSE
DCN,TRUE,TRUE,FALSE
QPCTL,TRUE,TRUE,FALSE
PPP5C,TRUE,TRUE,FALSE
CEP68,TRUE,TRUE,FALSE
MAP4K3,TRUE,TRUE,FALSE
ZBTB32,TRUE,TRUE,FALSE
TYROBP,TRUE,TRUE,FALSE
TMEM159,TRUE,TRUE,FALSE
GABRA3,TRUE,TRUE,FALSE
BRCA1,TRUE,TRUE,FALSE
ERCC1,TRUE,TRUE,FALSE
CD22,TRUE,TRUE,FALSE
SEMA3B,TRUE,TRUE,FALSE
MBTPS2,TRUE,TRUE,FALSE
PRICKLE3,TRUE,TRUE,FALSE
LTF,TRUE,TRUE,FALSE
EXTL3,TRUE,TRUE,FALSE
NR1H4,TRUE,TRUE,FALSE
ELOVL5,TRUE,TRUE,FALSE
ALOX5,TRUE,TRUE,FALSE
KDM5D,TRUE,TRUE,FALSE
CALCOCO1,TRUE,TRUE,FALSE
UBR7,TRUE,TRUE,FALSE
MAP4K5,TRUE,TRUE,FALSE
EHD3,TRUE,TRUE,FALSE
PSMC4,TRUE,TRUE,FALSE
MAN2B2,TRUE,TRUE,FALSE
SLC7A14,TRUE,TRUE,FALSE
CLDN11,TRUE,TRUE,FALSE
SLC25A39,TRUE,TRUE,FALSE
MVP,TRUE,TRUE,FALSE
NUB1,TRUE,TRUE,FALSE
PGM3,TRUE,TRUE,FALSE
RWDD2A,TRUE,TRUE,FALSE
CLK1,TRUE,TRUE,FALSE
POLR3B,TRUE,TRUE,FALSE
ANGEL1,TRUE,TRUE,FALSE
RNF14,TRUE,TRUE,FALSE
DNASE1L1,TRUE,TRUE,FALSE
DDX11,TRUE,TRUE,FALSE
HEBP1,TRUE,TRUE,FALSE
GPRC5A,TRUE,TRUE,FALSE
MAMLD1,TRUE,TRUE,FALSE
CD6,TRUE,TRUE,FALSE
TACC3,TRUE,TRUE,FALSE
UFL1,TRUE,TRUE,FALSE
POLA2,TRUE,TRUE,FALSE
ZC3H3,TRUE,TRUE,FALSE
CAPN1,TRUE,TRUE,FALSE
MDH1,TRUE,TRUE,FALSE
SLC30A9,TRUE,TRUE,FALSE
MTMR11,TRUE,TRUE,FALSE
COX15,TRUE,TRUE,FALSE
CCDC88C,TRUE,TRUE,FALSE
YAF2,TRUE,TRUE,FALSE
ZMYND11,TRUE,TRUE,FALSE
WAS,TRUE,TRUE,FALSE
DPEP1,TRUE,TRUE,FALSE
BID,TRUE,TRUE,FALSE
MATR3,TRUE,TRUE,FALSE
NPC1L1,TRUE,TRUE,FALSE
XYLT2,TRUE,TRUE,FALSE
RGPD5,TRUE,TRUE,FALSE
STMN4,TRUE,TRUE,FALSE
NUDCD3,TRUE,TRUE,FALSE
CHDH,TRUE,TRUE,FALSE
IL20RA,TRUE,TRUE,FALSE
CLCA4,TRUE,TRUE,FALSE
GLT8D1,TRUE,TRUE,FALSE
ATP2C1,TRUE,TRUE,FALSE
IGF1,TRUE,TRUE,FALSE
SLC38A5,TRUE,TRUE,FALSE
RALBP1,TRUE,TRUE,FALSE
RUFY3,TRUE,TRUE,FALSE
CNTN1,TRUE,TRUE,FALSE
SLC11A1,TRUE,TRUE,FALSE
WWTR1,TRUE,TRUE,FALSE
AGPS,TRUE,TRUE,FALSE
ZNF806,TRUE,TRUE,FALSE
ATP1A2,TRUE,TRUE,FALSE
TTC27,TRUE,TRUE,FALSE
ZNF582,TRUE,TRUE,FALSE
VSIG2,TRUE,TRUE,FALSE
PHLDB1,TRUE,TRUE,FALSE
MARCO,TRUE,TRUE,FALSE
CYP24A1,TRUE,TRUE,FALSE
PRDM11,TRUE,TRUE,FALSE
SYT13,TRUE,TRUE,FALSE
SNAI2,TRUE,TRUE,FALSE
CD74,TRUE,TRUE,FALSE
HGF,TRUE,TRUE,FALSE
ZRANB1,TRUE,TRUE,FALSE
NCDN,TRUE,TRUE,FALSE
CCT8L1P,TRUE,TRUE,FALSE
ZFP64,TRUE,TRUE,FALSE
MNAT1,TRUE,TRUE,FALSE
SAMD4A,TRUE,TRUE,FALSE
RUNX3,TRUE,TRUE,FALSE
PLEKHB1,TRUE,TRUE,FALSE
SERPINB1,TRUE,TRUE,FALSE
CYP3A43,TRUE,TRUE,FALSE
SLC7A9,TRUE,TRUE,FALSE
SPAST,TRUE,TRUE,FALSE
NRXN3,TRUE,TRUE,FALSE
OSBPL5,TRUE,TRUE,FALSE
AQR,TRUE,TRUE,FALSE
CPS1,TRUE,TRUE,FALSE
FHL1,TRUE,TRUE,FALSE
GABRA1,TRUE,TRUE,FALSE
NLRP2,TRUE,TRUE,FALSE
SLC45A4,TRUE,TRUE,FALSE
RNF10,TRUE,TRUE,FALSE
ZNF839,TRUE,TRUE,FALSE
ZDHHC6,TRUE,TRUE,FALSE
GRAMD1B,TRUE,TRUE,FALSE
RNH1,TRUE,TRUE,FALSE
NDUFS1,TRUE,TRUE,FALSE
RB1CC1,TRUE,TRUE,FALSE
ERP44,TRUE,TRUE,FALSE
ALAS1,TRUE,TRUE,FALSE
BIRC3,TRUE,TRUE,FALSE
AKAP11,TRUE,TRUE,FALSE
GLRX2,TRUE,TRUE,FALSE
SNAPC1,TRUE,TRUE,FALSE
DERA,TRUE,TRUE,FALSE
STRAP,TRUE,TRUE,FALSE
ABCC2,TRUE,TRUE,FALSE
DEF6,TRUE,TRUE,FALSE
PLEKHO1,TRUE,TRUE,FALSE
GCLM,TRUE,TRUE,FALSE
UBR2,TRUE,TRUE,FALSE
EHD2,TRUE,TRUE,FALSE
DEPDC1,TRUE,TRUE,FALSE
CCDC28A,TRUE,TRUE,FALSE
RRAGD,TRUE,TRUE,FALSE
HSF2,TRUE,TRUE,FALSE
PHF20,TRUE,TRUE,FALSE
HSD17B6,TRUE,TRUE,FALSE
NR1H3,TRUE,TRUE,FALSE
TYMP,TRUE,TRUE,FALSE
NCAPH2,TRUE,TRUE,FALSE
TOMM34,TRUE,TRUE,FALSE
SEC63,TRUE,TRUE,FALSE
KPNA6,TRUE,TRUE,FALSE
VIM,TRUE,TRUE,FALSE
RTEL1-TNFRSF6B,TRUE,TRUE,FALSE
FAS,TRUE,TRUE,FALSE
RNASET2,TRUE,TRUE,FALSE
CD44,TRUE,TRUE,FALSE
KCNG1,TRUE,TRUE,FALSE
AGPAT4,TRUE,TRUE,FALSE
SLAMF7,TRUE,TRUE,FALSE
BTN3A1,TRUE,TRUE,FALSE
MIPEP,TRUE,TRUE,FALSE
PRKCH,TRUE,TRUE,FALSE
INSRR,TRUE,TRUE,FALSE
IFNGR1,TRUE,TRUE,FALSE
B4GALT7,TRUE,TRUE,FALSE
SH2D2A,TRUE,TRUE,FALSE
VRK2,TRUE,TRUE,FALSE
TNFRSF1B,TRUE,TRUE,FALSE
VEZT,TRUE,TRUE,FALSE
POU2F2,TRUE,TRUE,FALSE
BRD9,TRUE,TRUE,FALSE
SNX1,TRUE,TRUE,FALSE
TBPL1,TRUE,TRUE,FALSE
ARNTL2,TRUE,TRUE,FALSE
BCLAF1,TRUE,TRUE,FALSE
SLC39A9,TRUE,TRUE,FALSE
ANK1,TRUE,TRUE,FALSE
IBSP,TRUE,TRUE,FALSE
TFB1M,TRUE,TRUE,FALSE
RABEP1,TRUE,TRUE,FALSE
HMGB3,TRUE,TRUE,FALSE
NUP160,TRUE,TRUE,FALSE
BAK1,TRUE,TRUE,FALSE
MUSK,TRUE,TRUE,FALSE
IKZF2,TRUE,TRUE,FALSE
GRN,TRUE,TRUE,FALSE
FAM13B,TRUE,TRUE,FALSE
ARHGAP31,TRUE,TRUE,FALSE
CENPQ,TRUE,TRUE,FALSE
RANBP3,TRUE,TRUE,FALSE
ARID4A,TRUE,TRUE,FALSE
PNPLA6,TRUE,TRUE,FALSE
IFT88,TRUE,TRUE,FALSE
ALG1,TRUE,TRUE,FALSE
ZCCHC8,TRUE,TRUE,FALSE
ABCF2,TRUE,TRUE,FALSE
CHPF2,TRUE,TRUE,FALSE
LRRC7,TRUE,TRUE,FALSE
FUT8,TRUE,TRUE,FALSE
UBA6,TRUE,TRUE,FALSE
GAB2,TRUE,TRUE,FALSE
ATP6V0A1,TRUE,TRUE,FALSE
PIAS1,TRUE,TRUE,FALSE
SLC4A7,TRUE,TRUE,FALSE
APBA2,TRUE,TRUE,FALSE
MAP2K3,TRUE,TRUE,FALSE
EFCAB1,TRUE,TRUE,FALSE
TMSB10,TRUE,TRUE,FALSE
ASTE1,TRUE,TRUE,FALSE
RNF19A,TRUE,TRUE,FALSE
PEX3,TRUE,TRUE,FALSE
GABARAPL2,TRUE,TRUE,FALSE
SH3YL1,TRUE,TRUE,FALSE
FAM136A,TRUE,TRUE,FALSE
VCL,TRUE,TRUE,FALSE
DEPDC1B,TRUE,TRUE,FALSE
DAPK2,TRUE,TRUE,FALSE
NSMAF,TRUE,TRUE,FALSE
STAP1,TRUE,TRUE,FALSE
TIMP2,TRUE,TRUE,FALSE
RFC1,TRUE,TRUE,FALSE
TBC1D23,TRUE,TRUE,FALSE
CUL3,TRUE,TRUE,FALSE
MYOM2,TRUE,TRUE,FALSE
OTC,TRUE,TRUE,FALSE
CYP46A1,TRUE,TRUE,FALSE
ZZZ3,TRUE,TRUE,FALSE
SLC18A1,TRUE,TRUE,FALSE
USP2,TRUE,TRUE,FALSE
TUBG2,TRUE,TRUE,FALSE
FLT4,TRUE,TRUE,FALSE
NSUN2,TRUE,TRUE,FALSE
FBXO42,TRUE,TRUE,FALSE
MFAP3,TRUE,TRUE,FALSE
MRI1,TRUE,TRUE,FALSE
METTL1,TRUE,TRUE,FALSE
HOXC8,TRUE,TRUE,FALSE
AGA,TRUE,TRUE,FALSE
PI4K2B,TRUE,TRUE,FALSE
BOD1L1,TRUE,TRUE,FALSE
MAT2B,TRUE,TRUE,FALSE
TLL1,TRUE,TRUE,FALSE
EDC4,TRUE,TRUE,FALSE
TRIO,TRUE,TRUE,FALSE
VCAN,TRUE,TRUE,FALSE
CLEC16A,TRUE,TRUE,FALSE
MSR1,TRUE,TRUE,FALSE
CDH1,TRUE,TRUE,FALSE
DNAH5,TRUE,TRUE,FALSE
ZFYVE16,TRUE,TRUE,FALSE
C6,TRUE,TRUE,FALSE
RAI14,TRUE,TRUE,FALSE
SOX30,TRUE,TRUE,FALSE
PNKP,TRUE,TRUE,FALSE
BEST2,TRUE,TRUE,FALSE
PHLPP2,TRUE,TRUE,FALSE
SPDL1,TRUE,TRUE,FALSE
STAU2,TRUE,TRUE,FALSE
CTNS,TRUE,TRUE,FALSE
RTN4R,TRUE,TRUE,FALSE
PHF23,TRUE,TRUE,FALSE
CDH10,TRUE,TRUE,FALSE
INPP4A,TRUE,TRUE,FALSE
RAB27B,TRUE,TRUE,FALSE
PSMA4,TRUE,TRUE,FALSE
MYO16,TRUE,TRUE,FALSE
LSG1,TRUE,TRUE,FALSE
PARP3,TRUE,TRUE,FALSE
TNC,TRUE,TRUE,FALSE
THAP3,TRUE,TRUE,FALSE
TDP1,TRUE,TRUE,FALSE
AIFM2,TRUE,TRUE,FALSE
SPATA7,TRUE,TRUE,FALSE
MED17,TRUE,TRUE,FALSE
RETSAT,TRUE,TRUE,FALSE
CAPG,TRUE,TRUE,FALSE
AP2S1,TRUE,TRUE,FALSE
USH2A,TRUE,TRUE,FALSE
TG,TRUE,TRUE,FALSE
ADAM28,TRUE,TRUE,FALSE
BARX2,TRUE,TRUE,FALSE
DCUN1D1,TRUE,TRUE,FALSE
ZIC2,TRUE,TRUE,FALSE
LCP2,TRUE,TRUE,FALSE
TRIT1,TRUE,TRUE,FALSE
ADRB1,TRUE,TRUE,FALSE
CUL7,TRUE,TRUE,FALSE
CTNNA1,TRUE,TRUE,FALSE
PHKA2,TRUE,TRUE,FALSE
CNTLN,TRUE,TRUE,FALSE
EPHA3,TRUE,TRUE,FALSE
HSPA5,TRUE,TRUE,FALSE
DSG2,TRUE,TRUE,FALSE
GEMIN8,TRUE,TRUE,FALSE
OFD1,TRUE,TRUE,FALSE
GPM6B,TRUE,TRUE,FALSE
PREX2,TRUE,TRUE,FALSE
WDR37,TRUE,TRUE,FALSE
YTHDC2,TRUE,TRUE,FALSE
CTPS2,TRUE,TRUE,FALSE
ATP6V1H,TRUE,TRUE,FALSE
POLR2B,TRUE,TRUE,FALSE
FAM214A,TRUE,TRUE,FALSE
ARAP2,TRUE,TRUE,FALSE
TPR,TRUE,TRUE,FALSE
CP,TRUE,TRUE,FALSE
DTNBP1,TRUE,TRUE,FALSE
XK,TRUE,TRUE,FALSE
ANO2,TRUE,TRUE,FALSE
SCML1,TRUE,TRUE,FALSE
WWC3,TRUE,TRUE,FALSE
ARHGAP6,TRUE,TRUE,FALSE
FAM184B,TRUE,TRUE,FALSE
MAP4,TRUE,TRUE,FALSE
GOPC,TRUE,TRUE,FALSE
USP28,TRUE,TRUE,FALSE
HDAC9,TRUE,TRUE,FALSE
TSPAN17,TRUE,TRUE,FALSE
NOP16,TRUE,TRUE,FALSE
CC2D2A,TRUE,TRUE,FALSE
RRM2B,TRUE,TRUE,FALSE
ZNF800,TRUE,TRUE,FALSE
TNFRSF17,TRUE,TRUE,FALSE
SNX29,TRUE,TRUE,FALSE
LMO3,TRUE,TRUE,FALSE
RSF1,TRUE,TRUE,FALSE
VPS13D,TRUE,TRUE,FALSE
CELF2,TRUE,TRUE,FALSE
FAM120A,TRUE,TRUE,FALSE
R3HDM1,TRUE,TRUE,FALSE
COL9A2,TRUE,TRUE,FALSE
KITLG,TRUE,TRUE,FALSE
ERCC8,TRUE,TRUE,FALSE
ADAMTS6,TRUE,TRUE,FALSE
H6PD,TRUE,TRUE,FALSE
VAMP3,TRUE,TRUE,FALSE
PER3,TRUE,TRUE,FALSE
UTS2,TRUE,TRUE,FALSE
TNFRSF9,TRUE,TRUE,FALSE
EPN3,TRUE,TRUE,FALSE
LTBP1,TRUE,TRUE,FALSE
RCN1,TRUE,TRUE,FALSE
ELN,TRUE,TRUE,FALSE
RFC2,TRUE,TRUE,FALSE
ARID1B,TRUE,TRUE,FALSE
CLPTM1L,TRUE,TRUE,FALSE
NEDD4L,TRUE,TRUE,FALSE
FOXP3,TRUE,TRUE,FALSE
PPP1R3F,TRUE,TRUE,FALSE
HEXB,TRUE,TRUE,FALSE
PTCD2,TRUE,TRUE,FALSE
JKAMP,TRUE,TRUE,FALSE
DKK3,TRUE,TRUE,FALSE
ARHGEF5,TRUE,TRUE,FALSE
NFE2L3,TRUE,TRUE,FALSE
MCUR1,TRUE,TRUE,FALSE
LIMA1,TRUE,TRUE,FALSE
LETMD1,TRUE,TRUE,FALSE
SLC4A8,TRUE,TRUE,FALSE
LAMC3,TRUE,TRUE,FALSE
PTGER3,TRUE,TRUE,FALSE
MAPK9,TRUE,TRUE,FALSE
COL23A1,TRUE,TRUE,FALSE
BCAR1,TRUE,TRUE,FALSE
FAM160A2,TRUE,TRUE,FALSE
HERPUD1,TRUE,TRUE,FALSE
HOMER3,TRUE,TRUE,FALSE
RAD51,TRUE,TRUE,FALSE
POLQ,TRUE,TRUE,FALSE
PIK3CB,TRUE,TRUE,FALSE
CYBA,TRUE,TRUE,FALSE
THOC3,TRUE,TRUE,FALSE
HEBP2,TRUE,TRUE,FALSE
MPHOSPH9,TRUE,TRUE,FALSE
PLEKHA5,TRUE,TRUE,FALSE
PRSS8,TRUE,TRUE,FALSE
SIKE1,TRUE,TRUE,FALSE
RRP12,TRUE,TRUE,FALSE
FNIP2,TRUE,TRUE,FALSE
MSMO1,TRUE,TRUE,FALSE
TTC17,TRUE,TRUE,FALSE
ALX4,TRUE,TRUE,FALSE
FSTL4,TRUE,TRUE,FALSE
FOXN3,TRUE,TRUE,FALSE
METTL24,TRUE,TRUE,FALSE
AKR7A2,TRUE,TRUE,FALSE
MRTO4,TRUE,TRUE,FALSE
NNAT,TRUE,TRUE,FALSE
USE1,TRUE,TRUE,FALSE
MCF2L2,TRUE,TRUE,FALSE
NRIP2,TRUE,TRUE,FALSE
LAMA3,TRUE,TRUE,FALSE
AP5M1,TRUE,TRUE,FALSE
ANAPC4,TRUE,TRUE,FALSE
KCNQ1,TRUE,TRUE,FALSE
TRAPPC3,TRUE,TRUE,FALSE
THRAP3,TRUE,TRUE,FALSE
PHPT1,TRUE,TRUE,FALSE
ENTPD2,TRUE,TRUE,FALSE
LY75,TRUE,TRUE,FALSE
ARID4B,TRUE,TRUE,FALSE
